callKind	calleeName	calleeDottedPath	receiverText	receiverKind	pyExpressionLinkHash	receiverExpressionLinkHash	pyScopeLinkHash	pyMethodLinkHash	pyTypeLinkHash	pyModuleLinkHash	positionalArgCount	keywordArgCount	hasStarArgs	hasDoubleStarArgs	keywordNames	argFlowIsPrecise	resolvedCalleeKind	resolvedCalleeHash	isModuleLevelCall	isConditional	startLine	startColumn	endLine	serviceVersionLinkHash	pyCallSiteUniqueHash
METHOD_CALL	label	node.label	node	NAME	PY_EXPRESSION_f4f623b6a0be8dd7623759ab78dcbd7e	PY_EXPRESSION_c2f6399d64b214a0bb4ec41f40adbfc2	PY_SCOPE_129c3ab2026fb54aa84df8615a07722c	PY_METHOD_a2047fc142658e71bc0922b866956fee		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	false	12	11	12	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_5e49c6222287ff0933c7bfb8c551eeb4
SIMPLE_CALL	make_node	make_node		NONE	PY_EXPRESSION_e769392aec0c3acbb1acb4f3db753967		PY_SCOPE_d0317c3794a8d1b8b2b61d2be68d3d7f	PY_METHOD_0f9364c1f0cad2d880d4d26bc85e801e		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	MODULE_FUNCTION	PY_METHOD_7d2d6b1fcbe9f06e17ea6be3ea44f4cd	false	false	16	11	16	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_62b964303f761ad10538a36a58ac957a
METHOD_CALL	label	node.label	node	NAME	PY_EXPRESSION_a6989e9550296a36b155112e1788ff11	PY_EXPRESSION_4d153ad908483baf232125b41ee8adcb	PY_SCOPE_d0317c3794a8d1b8b2b61d2be68d3d7f	PY_METHOD_0f9364c1f0cad2d880d4d26bc85e801e		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	false	17	11	17	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_41a9892123d289494f4d73b6204a34ea
METHOD_CALL	of	Builder.of	Builder	NAME	PY_EXPRESSION_e2ef25cbceb4b72df64f59b24160ccd2	PY_EXPRESSION_2ead1c475d3ad9e97030b1ebbfb8d503	PY_SCOPE_44274049ced0d3ff8f3f7ddd402b4d54	PY_METHOD_f33c64fd920235565cc59cec041d80cc		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	METHOD	PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc	false	false	21	14	21	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_d323df9343c9ab2d8c5f0dabfe19424f
METHOD_CALL	build	builder.build	builder	NAME	PY_EXPRESSION_218c77962d0d5d775e91bbf29ae8b9ca	PY_EXPRESSION_099f24c77115fd588302f60f2aa76e9d	PY_SCOPE_44274049ced0d3ff8f3f7ddd402b4d54	PY_METHOD_f33c64fd920235565cc59cec041d80cc		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	METHOD	PY_METHOD_4e91b430ca727895aa1cd3776fc03e54	false	false	22	11	22	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_a1a181b093ef009e3d2a54650a30bf29
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_79eafebc2e102265f03152f0208f0512		PY_SCOPE_82fbe6070bd079b52c30666f54b90851	PY_METHOD_e4869dc8c57fbd22abd3fb43f6b7c899		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	26	11	26	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_350e5f2536f64bbbe31d07f649fbd4c1
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_acda40f482b3cd2fdc7c3e54e92a3e82		PY_SCOPE_82fbe6070bd079b52c30666f54b90851	PY_METHOD_e4869dc8c57fbd22abd3fb43f6b7c899		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	27	11	27	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_482f721cf744fca293fbb6a44c5a6c69
METHOD_CALL	label	node.label	node	NAME	PY_EXPRESSION_6c7378ac7e591d78fd26ae0f85392468	PY_EXPRESSION_1266c887ef3243b24fed9bd99e00c40b	PY_SCOPE_82fbe6070bd079b52c30666f54b90851	PY_METHOD_e4869dc8c57fbd22abd3fb43f6b7c899		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	false	28	11	28	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_39849e22b3ad21bddb8c8b60725a7dab
SIMPLE_CALL	make_registry	make_registry		NONE	PY_EXPRESSION_83d26f7bc425dc9461ec3ad86da70082		PY_SCOPE_a8c96ec79443474cdeeba217a92f7d09	PY_METHOD_23d191e47abf73ad0654887b883f6a0c		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	MODULE_FUNCTION	PY_METHOD_de5e770015d0865e8824f96caa557604	false	false	32	10	32	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_8bbecfe562844b954a63de87d17bffd3
METHOD_CALL	store	reg.store	reg	NAME	PY_EXPRESSION_3de0b31404a99328f29ecda7ea391558	PY_EXPRESSION_07f813f80e27767b40ddb5b0be9cf709	PY_SCOPE_a8c96ec79443474cdeeba217a92f7d09	PY_METHOD_23d191e47abf73ad0654887b883f6a0c		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	METHOD	PY_METHOD_fb122cdd681d1886b28ba6a5367477ce	false	false	33	4	33	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_3ba93f9aec719df9225f1ab161252ae1
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_6a0d75f51dad2b646f055c064b70680b		PY_SCOPE_a8c96ec79443474cdeeba217a92f7d09	PY_METHOD_23d191e47abf73ad0654887b883f6a0c		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	33	14	33	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_e5c832178d37f99f504b112b67c7af5a
CHAINED_CALL	label	label	reg.first()	CALL_RESULT	PY_EXPRESSION_78dbb645a1e6f4677652d75a6817b7c3	PY_EXPRESSION_84ba614c7543ab5f98e46497e04d4daf	PY_SCOPE_a8c96ec79443474cdeeba217a92f7d09	PY_METHOD_23d191e47abf73ad0654887b883f6a0c		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	UNRESOLVED		false	false	34	11	34	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_0ebabb50f27840d469152b393c5945f4
METHOD_CALL	first	reg.first	reg	NAME	PY_EXPRESSION_84ba614c7543ab5f98e46497e04d4daf	PY_EXPRESSION_19cdba061f30be21a196a558328d3ac0	PY_SCOPE_a8c96ec79443474cdeeba217a92f7d09	PY_METHOD_23d191e47abf73ad0654887b883f6a0c		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	METHOD	PY_METHOD_7c5ffd94d87c21c27acde611d6418fe4	false	false	34	11	34	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_32789ef13d9a06b6ff7291e293373d38
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_96120c1d4452fb0a0e81c756f250b916		PY_SCOPE_82992e5329b24ebb7683a2a334e52b2b	PY_METHOD_9bfe8291c74f01115a62c5a09438cd61		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	38	11	38	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_4fbc0110e22119e57e609d7ab833d08f
SIMPLE_CALL	consume	consume		NONE	PY_EXPRESSION_251daaaf65e8be37673df93d6e395826		PY_SCOPE_82992e5329b24ebb7683a2a334e52b2b	PY_METHOD_9bfe8291c74f01115a62c5a09438cd61		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	MODULE_FUNCTION	PY_METHOD_1ee49da1b04115f4f920851320ae83f0	false	false	39	11	39	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_2a159243593ce44d11a0060c397eb70d
METHOD_CALL	label	node.label	node	NAME	PY_EXPRESSION_c1a97bb91e6c71542c21ef04c0668538	PY_EXPRESSION_d4fb87ff756d63a77adf9fcc33afbc88	PY_SCOPE_d0ea1468c5ed07eba87ffa5bc60cc3c3	PY_METHOD_1ee49da1b04115f4f920851320ae83f0		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	UNRESOLVED		false	false	44	11	44	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_d6d97f0336693095b3347a684596f4d3
SIMPLE_CALL	TypedBuilder	TypedBuilder		NONE	PY_EXPRESSION_e043c7439f2a1cebd64ee05f7a84e4ff		PY_SCOPE_4747c972dbab74c929b2e8645e086da9	PY_METHOD_c9011abaa6f762260b60df3c7a4a5383		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	false	false	48	14	48	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_e5d1423f263f7bffe79306eac38e41f3
CHAINED_CALL	count	count	"builder.node.add(Node(""i""))"	CALL_RESULT	PY_EXPRESSION_42161748840e2e8a24e24d0dcb518e8a	PY_EXPRESSION_dc048caa1266d7fbdbcbd658f8170ee0	PY_SCOPE_4747c972dbab74c929b2e8645e086da9	PY_METHOD_c9011abaa6f762260b60df3c7a4a5383		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	0	0	false	false		true	UNRESOLVED		false	false	49	11	49	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_90792eb09604ea3b70e8d39f1f807370
METHOD_CALL	add	builder.node.add	builder.node	ATTRIBUTE	PY_EXPRESSION_dc048caa1266d7fbdbcbd658f8170ee0	PY_EXPRESSION_d3acc4fc04eb477407e023bc7748ff71	PY_SCOPE_4747c972dbab74c929b2e8645e086da9	PY_METHOD_c9011abaa6f762260b60df3c7a4a5383		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	METHOD	PY_METHOD_884b206c00df93e05093f97d602c9a91	false	false	49	11	49	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_ab6badcf5e37b65ed69c272616b693fb
SIMPLE_CALL	Node	Node		NONE	PY_EXPRESSION_ced4560af8cdebe91ae8ce6910ea52a8		PY_SCOPE_4747c972dbab74c929b2e8645e086da9	PY_METHOD_c9011abaa6f762260b60df3c7a4a5383		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	1	0	false	false		true	TYPE	PY_TYPE_325d8fd0ba3a48883f5b1bd661d4bef1	false	false	49	28	49	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_4d804e3b4ebd50e2f6498cf1a9b53a60
SUPER_CALL	label	label	super()	SUPER	PY_EXPRESSION_b9fe2519d3fdec999d4ff30bfd90a181	PY_EXPRESSION_487dbd1375818b1d53afc47334eb1fff	PY_SCOPE_5650478ce085143af2263dc943c35f1f	PY_METHOD_e02a565ade91c49cb03c1e386163139b	PY_TYPE_29dbf7f364098ccee10a7f6219a69f40	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	0	0	false	false		true	METHOD	PY_METHOD_ce30c205d081a607b8a765e37d66ba71	false	false	7	15	7	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_1841d058c8051bd79ff4239d8b826235
SIMPLE_CALL	super	super		NONE	PY_EXPRESSION_487dbd1375818b1d53afc47334eb1fff		PY_SCOPE_5650478ce085143af2263dc943c35f1f	PY_METHOD_e02a565ade91c49cb03c1e386163139b	PY_TYPE_29dbf7f364098ccee10a7f6219a69f40	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	0	0	false	false		true	BUILTIN		false	false	7	15	7	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_c2b86be23f47794bd64fc827472ebe34
SELF_CALL	label	self.label	self	SELF	PY_EXPRESSION_84298cd5d5031275872298473a19f713	PY_EXPRESSION_c560fde0a666ef887751d7bf59c2af22	PY_SCOPE_3996261f7ade2ec2e1efe64739152063	PY_METHOD_a56a6fce5741378568dd2b27346561c1	PY_TYPE_29dbf7f364098ccee10a7f6219a69f40	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	0	0	false	false		true	METHOD	PY_METHOD_e02a565ade91c49cb03c1e386163139b	false	false	10	15	10	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_f5649ddce13b71e83e274077c3e768d8
SELF_CALL	count	self.count	self	SELF	PY_EXPRESSION_9eff430b5660c5f7a2d504ca9ce82e2d	PY_EXPRESSION_2bae5f3d18e963e6ab95ed35f9106282	PY_SCOPE_7d189af6271ee6e2aea0e4dbb34cc74f	PY_METHOD_27201ffe00b332a089d5a921b841ce9e	PY_TYPE_29dbf7f364098ccee10a7f6219a69f40	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	0	0	false	false		true	METHOD	PY_METHOD_a5d67d36658ce980f455c0e1aa2174d5	false	false	13	15	13	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_e73af9f400f1de91ef13fcfe976d0ed0
SUPER_CALL	label	label	super()	SUPER	PY_EXPRESSION_23b3ad35f457caf9277423ad6fa26d77	PY_EXPRESSION_a215f2806d980102439a987fd0d6b682	PY_SCOPE_c38cbf2a309caf948f6650cd0d3b4286	PY_METHOD_3a89c21de61d1b96655170f7c31ef7c6	PY_TYPE_fa48ec5ab50907cf209ac2b863a623cb	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	0	0	false	false		true	METHOD	PY_METHOD_bcb7bfeecc00029ab553d1d400750db1	false	false	18	15	18	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_1a1ef3cc559bff091de13287c7563542
SIMPLE_CALL	super	super		NONE	PY_EXPRESSION_a215f2806d980102439a987fd0d6b682		PY_SCOPE_c38cbf2a309caf948f6650cd0d3b4286	PY_METHOD_3a89c21de61d1b96655170f7c31ef7c6	PY_TYPE_fa48ec5ab50907cf209ac2b863a623cb	PY_MODULE_a33b8c4bbf1742fb9dadfea7d3a92e31	0	0	false	false		true	BUILTIN		false	false	18	15	18	SERVICE_VERSION_00000000000000000000000000000000	PY_CALL_SITE_61e9ddc25125b35748bc5f589d3a5973
